X 		 Y 		 Z 
20 		 16 		  0.07845598 
20 		 15 		  0.00234071 
20 		 14 		  0.00376512 
21 		 29 		  0.00179947 
21 		 28 		  0.03258818 
21 		 27 		  0.00136283 
21 		 26 		  0.00039171 
21 		 25 		  0.00070193 
21 		 24 		  0.01115841 
21 		 23 		  0.00010654 
21 		 22 		  0.00066481 
21 		 21 		  0.01062961 
21 		 20 		  0.00160039 
21 		 19 		  0.08154967 
21 		 18 		  0.01365976 
21 		 17 		  0.11591705 
21 		 16 		  0.12380110 
21 		 15 		  0.00449096 
21 		 14 		  0.00629604 
22 		 29 		  0.00165697 
22 		 28 		  0.00017217 
22 		 27 		  0.00126684 
22 		 26 		  0.00600204 
22 		 25 		  0.02872740 
22 		 24 		  0.00472396 
22 		 23 		  0.01673907 
22 		 22 		  0.01436583 
22 		 21 		  0.02669486 
22 		 20 		  0.00058151 
22 		 19 		  0.00190253 
22 		 18 		  0.03506882 
22 		 17 		  0.06977910 
22 		 16 		  0.00506464 
22 		 15 		  0.00370675 
22 		 14 		  0.00070506 
23 		 29 		  0.01655294 
23 		 28 		  0.01954644 
23 		 27 		  0.01081258 
23 		 26 		  0.00523979 
23 		 25 		  0.02860122 
23 		 24 		  0.01091786 
23 		 23 		  0.01153826 
23 		 22 		  0.00458324 
23 		 21 		  0.09733734 
23 		 20 		  0.00020583 
23 		 19 		  0.00009986 
23 		 18 		  0.01639017 
23 		 17 		  0.02319716 
23 		 16 		  0.00018383 
23 		 15 		  0.00146346 
24 		 28 		  0.01142456 
24 		 27 		  0.00189504 
24 		 26 		  0.00116355 
24 		 25 		  0.00163270 
24 		 24 		  0.01435983 
24 		 23 		  0.00933607 
24 		 22 		  0.00055130 
24 		 21 		  0.00815697 
24 		 20 		  0.05035583 
24 		 19 		  0.02347655 
24 		 18 		  0.00046473 
24 		 17 		  0.00177317 
24 		 15 		  0.00024742 
25 		 29 		  0.00227099 
25 		 28 		  0.00072244 
25 		 27 		  0.00563584 
25 		 26 		  0.00268722 
25 		 25 		  0.02157878 
25 		 23 		  0.00613093 
25 		 22 		  0.04381632 
25 		 21 		  0.00351370 
25 		 20 		  0.00409320 
25 		 19 		  0.00017098 
25 		 18 		  0.05156994 
25 		 17 		  0.03454220 
25 		 16 		  0.00091388 
25 		 15 		  0.00224367 
26 		 29 		  0.00576600 
26 		 28 		  0.00375598 
26 		 27 		  0.02726564 
26 		 26 		  0.00102431 
26 		 25 		  0.02049372 
26 		 24 		  0.01190912 
26 		 23 		  0.00013712 
26 		 22 		  0.02960558 
26 		 21 		  0.01413021 
26 		 20 		  0.04842387 
26 		 19 		  0.08428934 
26 		 18 		  0.01387739 
26 		 17 		  0.00502792 
26 		 16 		  0.00427150 
27 		 29 		  0.00013449 
27 		 28 		  0.00309107 
27 		 27 		  0.03853787 
27 		 26 		  0.01635894 
27 		 25 		  0.03755763 
27 		 24 		  0.03601603 
27 		 23 		  0.01059909 
27 		 22 		  0.00121624 
27 		 21 		  0.01717758 
27 		 20 		  0.03230426 
27 		 19 		  0.00206075 
27 		 18 		  0.00658738 
27 		 17 		  0.00018053 
27 		 16 		  0.00343571 
28 		 29 		  0.00695371 
28 		 28 		  0.00382656 
28 		 27 		  0.00681661 
28 		 26 		  0.00059591 
28 		 25 		  0.00233066 
28 		 24 		  0.00265550 
28 		 23 		  0.00145884 
28 		 22 		  0.00214591 
28 		 21 		  0.00643918 
28 		 20 		  0.00184096 
28 		 19 		  0.00265669 
28 		 17 		  0.00416126 
28 		 16 		  0.00052721 
28 		 15 		  0.00010772 
29 		 29 		  0.00364289 
29 		 27 		  0.00036463 
29 		 25 		  0.00351356 
29 		 24 		  0.02986235 
29 		 23 		  0.00062731 
29 		 22 		  0.00587779 
29 		 21 		  0.00011989 
29 		 20 		  0.07202679 
29 		 19 		  0.00029036 
29 		 18 		  0.04125430 
29 		 17 		  0.00595078 
29 		 16 		  0.00014118 
29 		 15 		  0.00024883 
